fecha,tienda_id,ciudad,categoria,producto,unidades,precio_unitario,descuento,cliente_id,edad_cliente,metodo_pago
2025-02-04,2,Barcelona,Electrónica,Power Bank,5,35.83,0.0,3432,30.0,Bizum
2025-02-03,8,Murcia,Electrónica,Auriculares,4,32.04,0.15,2621,22.0,PayPal
2025-03-18,3,Valencia,Hogar,Lámpara LED,3,15.96,0.0,1352,23.0,Tarjeta
2025-06-16,5,Bilbao,Alimentación,Aceite oliva 1L,2,3.86,0.1,3539,34.0,Tarjeta
2025-03-18,1,Madrid,Deporte,Banda elástica,1,44.29,0.0,1598,66.0,Bizum
2025-02-27,2,Barcelona,Moda,Gorra,3,15.96,0.0,2447,29.0,Tarjeta
2025-03-08,5,Bilbao,Hogar,Juego de toallas,4,16.66,0.0,3401,40.0,Tarjeta
2025-06-08,2,Barcelona,Alimentación,Snack proteico,4,10.37,0.0,3850,55.0,Bizum
2025-05-12,3,Valencia,Alimentación,Café molido 250g,4,5.83,0.1,2808,47.0,Tarjeta
2025-02-02,4,Sevilla,Deporte,Banda elástica,1,36.94,0.1,4449,,Tarjeta
2025-05-19,4,Sevilla,Deporte,Banda elástica,4,24.6,0.0,3749,37.0,Tarjeta
2025-05-24,2,Barcelona,Moda,Sudadera capucha,4,8.11,0.0,1185,72.0,Efectivo
2025-04-16,8,Murcia,Deporte,Guantes running,2,28.52,0.0,2621,59.0,Tarjeta
2025-03-11,1,Madrid,Moda,Gorra,4,10.69,0.0,1519,38.0,Tarjeta
2025-04-10,1,Madrid,Deporte,Banda elástica,3,32.1,0.0,2837,25.0,Efectivo
2025-01-12,6,Zaragoza,Hogar,Juego de toallas,2,16.75,0.2,1474,54.0,Tarjeta
2025-04-28,4,Sevilla,Hogar,Organizador cajones,3,23.0,0.0,4101,44.0,Efectivo
2025-02-16,8,Murcia,Alimentación,Chocolate 70%,4,6.19,0.0,2509,37.0,Tarjeta
2025-04-07,3,Valencia,Moda,Mochila urbana,4,18.06,0.0,4453,37.0,Efectivo
2025-03-16,5,Bilbao,Electrónica,Cargador USB-C,5,13.29,0.0,3129,50.0,Efectivo
2025-02-01,2,Barcelona,Deporte,Esterilla yoga,5,30.44,0.15,3420,45.0,Tarjeta
2025-04-28,4,Sevilla,Hogar,Lámpara LED,2,36.04,0.0,1633,18.0,PayPal
2025-03-05,3,Valencia,Moda,Gorra,2,27.13,0.0,2517,27.0,Efectivo
2025-06-16,3,Valencia,Hogar,Sartén antiadherente,2,28.18,0.0,2752,28.0,Efectivo
2025-02-13,6,Zaragoza,Alimentación,Snack proteico,4,10.33,0.0,3004,47.0,Tarjeta
2025-01-05,3,Valencia,Deporte,Cinturón lastrado,1,11.09,0.0,2537,22.0,Efectivo
2025-04-24,3,Valencia,Hogar,Lámpara LED,5,23.45,0.0,4248,37.0,Tarjeta
2025-02-03,3,Valencia,Deporte,Esterilla yoga,3,14.68,0.0,1692,24.0,Bizum
2025-04-04,6,Zaragoza,Electrónica,Auriculares,1,44.65,0.0,1065,65.0,Efectivo
2025-04-21,8,Murcia,Moda,Gorra,2,20.42,0.0,2332,60.0,Tarjeta
2025-02-18,2,Barcelona,Hogar,Juego de toallas,5,29.48,0.0,2539,44.0,Tarjeta
2025-04-15,2,Barcelona,Hogar,Lámpara LED,2,17.36,0.0,1678,61.0,Tarjeta
2025-03-27,7,Málaga,Electrónica,Cargador USB-C,5,20.25,0.0,2697,59.0,Tarjeta
2025-02-26,7,Málaga,Hogar,Lámpara LED,2,39.56,0.0,2050,36.0,Tarjeta
2025-06-25,2,Barcelona,Deporte,Botella térmica,2,28.96,0.0,4056,67.0,Bizum
2025-03-09,8,Murcia,Moda,Gorra,4,7.98,0.0,3754,18.0,Tarjeta
2025-02-02,8,Murcia,Electrónica,Auriculares,1,51.06,0.1,1583,24.0,Tarjeta
2025-02-22,1,Madrid,Moda,Mochila urbana,2,12.76,0.0,3202,72.0,Tarjeta
2025-02-16,4,Sevilla,Alimentación,Snack proteico,3,7.74,0.0,3216,42.0,Tarjeta
2025-05-08,1,Madrid,Deporte,Esterilla yoga,3,30.77,0.0,1328,56.0,Bizum
2025-02-24,8,Murcia,Electrónica,Auriculares,2,44.67,0.0,3514,53.0,Efectivo
2025-06-14,1,Madrid,Hogar,Juego de toallas,1,11.45,0.0,2333,63.0,PayPal
2025-05-20,2,Barcelona,Hogar,Vela aromática,1,10.45,0.0,2302,40.0,Tarjeta
2025-04-25,5,Bilbao,Hogar,Lámpara LED,3,23.11,0.0,2059,18.0,Tarjeta
2025-02-07,4,Sevilla,Hogar,Sartén antiadherente,1,7.57,0.0,2427,33.0,Tarjeta
2025-02-06,7,Málaga,Hogar,Sartén antiadherente,2,38.77,0.0,3344,60.0,Efectivo
2025-05-24,1,Madrid,Alimentación,Aceite oliva 1L,4,12.63,0.0,2612,74.0,Efectivo
2025-02-22,1,Madrid,Alimentación,Té variado,2,4.23,0.15,3627,43.0,PayPal
2025-06-03,5,Bilbao,Deporte,Esterilla yoga,5,11.24,0.0,1196,73.0,Efectivo
2025-02-11,4,Sevilla,Hogar,Lámpara LED,4,19.93,0.0,3917,60.0,Tarjeta
2025-04-13,8,Murcia,Electrónica,Cable HDMI,1,8.11,0.0,3231,19.0,Tarjeta
2025-01-25,2,Barcelona,Deporte,Esterilla yoga,2,38.58,0.0,1875,45.0,Tarjeta
2025-01-17,7,Málaga,Electrónica,Altavoz Bluetooth,2,47.74,0.0,2042,30.0,Tarjeta
2025-01-13,6,Zaragoza,Deporte,Cinturón lastrado,5,43.46,0.0,2972,65.0,Tarjeta
2025-03-06,1,Madrid,Moda,Calcetines pack 3,5,24.66,0.0,3339,69.0,Bizum
2025-03-26,7,Málaga,Moda,Mochila urbana,5,12.26,0.0,1315,32.0,Tarjeta
2025-01-05,1,Madrid,Alimentación,Café molido 250g,3,10.58,0.0,3274,56.0,Bizum
2025-05-24,8,Murcia,Moda,Camiseta básica,3,32.52,0.0,1514,18.0,Tarjeta
2025-04-15,6,Zaragoza,Alimentación,Café molido 250g,2,11.86,0.2,3482,31.0,Tarjeta
2025-05-19,5,Bilbao,Alimentación,Chocolate 70%,5,2.81,0.15,1710,29.0,Tarjeta
2025-06-10,6,Zaragoza,Moda,Gorra,5,16.2,0.0,1901,70.0,Tarjeta
2025-03-21,1,Madrid,Moda,Calcetines pack 3,4,20.39,0.0,1872,56.0,Tarjeta
2025-03-06,7,Málaga,Electrónica,Cargador USB-C,2,49.18,0.1,1672,64.0,Tarjeta
2025-04-09,7,Málaga,Hogar,Lámpara LED,5,28.83,0.15,1096,25.0,Tarjeta
2025-04-19,7,Málaga,Alimentación,Té variado,1,8.53,0.0,3582,64.0,Tarjeta
2025-04-22,6,Zaragoza,Hogar,Vela aromática,1,8.38,0.0,2954,58.0,Tarjeta
2025-06-21,3,Valencia,Alimentación,Aceite oliva 1L,4,7.91,0.1,1577,60.0,Tarjeta
2025-03-09,1,Madrid,Moda,Gorra,3,12.05,0.0,4399,27.0,Tarjeta
2025-04-29,1,Madrid,Moda,Mochila urbana,5,10.69,0.1,3266,39.0,Tarjeta
2025-01-22,2,Barcelona,Hogar,Lámpara LED,5,31.92,0.0,2645,50.0,Efectivo
2025-02-10,1,Madrid,Hogar,Lámpara LED,5,11.78,0.0,2862,65.0,Efectivo
2025-01-31,3,Valencia,Moda,Calcetines pack 3,4,18.15,0.0,1819,41.0,Tarjeta
2025-04-22,4,Sevilla,Moda,Gorra,5,14.22,0.0,3936,33.0,Tarjeta
2025-02-06,8,Murcia,Moda,Gorra,3,10.91,0.0,2877,34.0,Tarjeta
2025-06-27,2,Barcelona,Moda,Calcetines pack 3,5,13.12,0.0,1250,24.0,Tarjeta
2025-03-06,7,Málaga,Electrónica,Auriculares,2,37.85,0.1,2707,54.0,Tarjeta
2025-02-13,5,Bilbao,Moda,Gorra,2,34.82,0.0,3947,,Tarjeta
2025-03-17,4,Sevilla,Electrónica,Cargador USB-C,4,20.06,0.0,1696,26.0,Tarjeta
2025-01-14,4,Sevilla,Moda,Calcetines pack 3,2,27.02,0.0,2394,21.0,Tarjeta
2025-04-06,2,Barcelona,Hogar,Sartén antiadherente,1,16.35,0.2,1063,62.0,Tarjeta
2025-03-07,8,Murcia,Electrónica,Cargador USB-C,3,30.56,0.0,4061,74.0,Tarjeta
2025-05-11,7,Málaga,Deporte,Esterilla yoga,3,32.37,0.1,2341,63.0,Tarjeta
2025-01-13,1,Madrid,Hogar,Juego de toallas,2,12.14,0.0,2292,19.0,Tarjeta
2025-03-13,6,Zaragoza,Electrónica,Auriculares,1,19.08,0.0,1755,58.0,Tarjeta
2025-01-13,3,Valencia,Electrónica,Auriculares,4,56.0,0.0,1535,71.0,Efectivo
2025-06-18,5,Bilbao,Electrónica,Power Bank,1,56.22,0.0,1016,43.0,Tarjeta
2025-04-11,3,Valencia,Hogar,Juego de toallas,3,10.67,0.0,2921,43.0,Efectivo
2025-05-05,1,Madrid,Hogar,Sartén antiadherente,5,7.53,0.0,4167,70.0,Tarjeta
2025-05-08,1,Madrid,Moda,Mochila urbana,5,6.62,0.0,2663,68.0,Tarjeta
2025-02-11,2,Barcelona,Hogar,Organizador cajones,4,34.42,0.0,2683,19.0,Tarjeta
2025-04-09,6,Zaragoza,Electrónica,Auriculares,1,8.26,0.0,1160,,Tarjeta
2025-06-06,5,Bilbao,Electrónica,Power Bank,4,51.74,0.0,4065,44.0,Efectivo
2025-01-29,6,Zaragoza,Electrónica,Cargador USB-C,5,55.22,0.0,1787,26.0,Bizum
2025-04-02,5,Bilbao,Moda,Calcetines pack 3,2,13.34,0.0,3417,34.0,Efectivo
2025-02-24,7,Málaga,Electrónica,Cargador USB-C,4,38.98,0.15,2903,29.0,Tarjeta
2025-01-28,5,Bilbao,Alimentación,Té variado,5,3.42,0.1,3282,53.0,Efectivo
2025-05-03,8,Murcia,Deporte,Esterilla yoga,3,18.26,0.0,4258,,Efectivo
2025-04-23,4,Sevilla,Electrónica,Cargador USB-C,1,31.35,0.0,4375,63.0,PayPal
2025-06-28,1,Madrid,Deporte,Botella térmica,1,10.54,0.0,4053,48.0,Efectivo
2025-05-04,2,Barcelona,Moda,Gorra,5,17.44,0.0,1063,,Bizum
2025-04-16,8,Murcia,Hogar,Juego de toallas,4,31.72,0.0,2520,41.0,Efectivo
2025-05-24,1,Madrid,Electrónica,Cargador USB-C,3,21.69,0.2,2238,55.0,Bizum
2025-03-27,8,Murcia,Electrónica,Cargador USB-C,2,9.05,0.0,2939,58.0,Efectivo
2025-05-29,8,Murcia,Hogar,Juego de toallas,5,17.31,0.0,3952,49.0,Tarjeta
2025-01-13,5,Bilbao,Hogar,Organizador cajones,4,37.74,0.0,2083,68.0,Tarjeta
2025-06-13,5,Bilbao,Deporte,Botella térmica,2,11.89,0.0,1498,50.0,Tarjeta
2025-02-16,6,Zaragoza,Electrónica,Cargador USB-C,3,36.81,0.0,2248,27.0,Tarjeta
2025-02-09,8,Murcia,Alimentación,Aceite oliva 1L,1,10.0,0.0,1006,73.0,Efectivo
2025-05-20,7,Málaga,Deporte,Esterilla yoga,1,14.3,0.1,1443,27.0,Tarjeta
2025-04-06,8,Murcia,Hogar,Sartén antiadherente,3,9.06,0.0,3753,54.0,Tarjeta
2025-02-14,8,Murcia,Hogar,Vela aromática,2,5.36,0.0,3605,47.0,Tarjeta
2025-06-21,4,Sevilla,Alimentación,Chocolate 70%,2,9.88,0.0,2466,57.0,Tarjeta
2025-06-14,4,Sevilla,Hogar,Juego de toallas,1,27.71,0.0,3485,57.0,Tarjeta
2025-01-12,8,Murcia,Alimentación,Café molido 250g,3,13.05,0.0,4092,67.0,Bizum
2025-04-30,5,Bilbao,Moda,Gorra,4,9.65,0.0,3186,56.0,Bizum
2025-02-09,4,Sevilla,Hogar,Sartén antiadherente,2,14.29,0.0,3936,39.0,Tarjeta
2025-06-28,7,Málaga,Moda,Gorra,4,22.98,0.0,1472,54.0,Bizum
2025-04-28,4,Sevilla,Hogar,Lámpara LED,1,7.55,0.1,3741,71.0,PayPal
2025-05-22,2,Barcelona,Alimentación,Aceite oliva 1L,2,4.61,0.0,1140,49.0,Tarjeta
2025-02-23,1,Madrid,Deporte,Guantes running,2,15.86,0.15,3039,70.0,Efectivo
2025-02-03,3,Valencia,Moda,Sudadera capucha,1,20.75,0.2,1529,38.0,Efectivo
2025-06-29,5,Bilbao,Moda,Gorra,3,14.67,0.0,2308,39.0,Tarjeta
2025-03-10,3,Valencia,Electrónica,Cargador USB-C,5,15.54,0.0,1050,31.0,Tarjeta
2025-02-11,8,Murcia,Hogar,Lámpara LED,2,13.31,0.15,1942,29.0,Tarjeta
2025-04-17,1,Madrid,Deporte,Guantes running,4,21.04,0.15,2532,42.0,Efectivo
2025-03-17,3,Valencia,Electrónica,Power Bank,2,55.51,0.1,3099,51.0,Bizum
2025-05-12,5,Bilbao,Moda,Calcetines pack 3,5,22.8,0.0,1695,67.0,Tarjeta
2025-06-30,5,Bilbao,Moda,Mochila urbana,1,15.14,0.2,3866,46.0,Tarjeta
2025-04-15,1,Madrid,Moda,Gorra,1,26.18,0.2,3076,61.0,Tarjeta
2025-03-11,8,Murcia,Deporte,Esterilla yoga,4,23.49,0.0,1413,53.0,Efectivo
2025-04-29,7,Málaga,Moda,Mochila urbana,4,6.45,0.0,3810,38.0,Tarjeta
2025-05-24,5,Bilbao,Moda,Sudadera capucha,5,32.97,0.0,4402,49.0,Tarjeta
2025-05-29,2,Barcelona,Deporte,Banda elástica,1,40.18,0.0,3755,24.0,Bizum
2025-02-12,2,Barcelona,Hogar,Sartén antiadherente,3,15.08,0.2,3296,45.0,Bizum
2025-03-21,6,Zaragoza,Alimentación,Té variado,3,13.7,0.0,2298,18.0,Bizum
2025-01-22,6,Zaragoza,Hogar,Organizador cajones,5,19.21,0.15,4469,24.0,Tarjeta
2025-01-10,8,Murcia,Moda,Mochila urbana,2,24.61,0.0,2859,63.0,Tarjeta
2025-04-12,4,Sevilla,Hogar,Sartén antiadherente,2,39.73,0.0,2382,35.0,Tarjeta
2025-01-20,5,Bilbao,Hogar,Lámpara LED,4,24.27,0.0,3702,36.0,Efectivo
2025-06-08,5,Bilbao,Deporte,Botella térmica,5,38.89,0.0,1147,32.0,Bizum
2025-03-11,6,Zaragoza,Moda,Sudadera capucha,5,30.87,0.0,2078,71.0,Tarjeta
2025-01-25,4,Sevilla,Moda,Gorra,2,6.04,0.0,3727,37.0,Tarjeta
